"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R9,R6,R4";"R_0805_2012Metric";3;"330R";;;
2;"D1,D2,D3";"LED_0201_0603Metric";3;"LED";;;
3;"U1";"TQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm";1;"~";;;
4;"J1";"DSUB-9_Socket_Vertical_P2.77x2.84mm_MountingHoles";1;"DE9_Socket";;;
5;"IC3";"DIP-8_W7.62mm";1;"MCP2561-H_P";;;
6;"J4,J6";"JST_B2B-XH-A";2;"B2B-XH-A";;;
7;"JP1,JP2";"PinHeader_1x24_P2.54mm_Vertical";2;"PINHD-1X24";;;
8;"U$1";"Teensy 4.1";1;"TEENSY4-1";;;
9;"C8";"C_0805_2012Metric";1;"4700pF";;;
10;"C3";"C_0805_2012Metric";1;"0.1uF";;;
11;"R12,R11";"R_0805_2012Metric";2;"60Ohm";;;
12;"R2,R1,R3";"R_0805_2012Metric";3;"120R";;;
13;"R10";"R_0805_2012Metric";1;"300Ohm";;;
14;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
